Date,Project_ID,Project_Type,Location,Material_Cost,Labor_Cost,Equipment_Cost,Total_Cost,Revenue,Profit
01-01-2025,VC001,Residential,Bangalore,37500,22500,15000,75000,91868,16868
02-01-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,201021,51021
03-01-2025,VC003,Road,Chennai,81000,47250,33750,162000,210016,48016
04-01-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,228551,48551
05-01-2025,VC005,Residential,Bangalore,68750,40000,26250,135000,159462,24462
06-01-2025,VC006,Commercial,Mysore,72250,35700,26350,134300,158635,24335
07-01-2025,VC007,Road,Chennai,46500,27000,19500,93000,108030,15030
08-01-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,244798,59798
09-01-2025,VC009,Residential,Bangalore,78300,44550,29700,152550,193772,41222
10-01-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,211824,47824
11-01-2025,VC011,Road,Chennai,78750,46250,33750,158750,183216,24466
12-01-2025,VC012,Bridge,Hyderabad,80750,45900,35700,162350,218195,55845
13-01-2025,VC013,Residential,Bangalore,45000,26250,17250,88500,116509,28009
14-01-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,201527,32527
15-01-2025,VC015,Road,Chennai,87750,51300,37800,176850,209808,32958
16-01-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,233776,36776
17-01-2025,VC017,Residential,Bangalore,77500,45000,30000,152500,184654,32154
18-01-2025,VC018,Commercial,Mysore,78200,39950,28900,147050,184540,37490
19-01-2025,VC019,Road,Chennai,50250,29250,21750,101250,125184,23934
20-01-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,245273,42273
21-01-2025,VC001,Residential,Bangalore,67500,40500,27000,135000,171770,36770
22-01-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,176684,26684
23-01-2025,VC003,Road,Chennai,75000,43750,31250,150000,181264,31264
24-01-2025,VC004,Bridge,Hyderabad,76500,42500,34000,153000,187160,34160
25-01-2025,VC005,Residential,Bangalore,41250,24000,15750,81000,100538,19538
26-01-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,206511,48511
27-01-2025,VC007,Road,Chennai,83700,48600,35100,167400,199195,31795
28-01-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,231776,46776
29-01-2025,VC009,Residential,Bangalore,72500,41250,27500,141250,179173,37923
30-01-2025,VC010,Commercial,Mysore,74800,37400,27200,139400,161605,22205
31-01-2025,VC011,Road,Chennai,47250,27750,20250,95250,121111,25861
01-02-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,226164,35164
02-02-2025,VC013,Residential,Bangalore,81000,47250,31050,159300,185267,25967
03-02-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,226422,57422
04-02-2025,VC015,Road,Chennai,81250,47500,35000,163750,219936,56186
05-02-2025,VC016,Bridge,Hyderabad,83300,47600,36550,167450,219640,52190
06-02-2025,VC017,Residential,Bangalore,46500,27000,18000,91500,110799,19299
07-02-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,202329,29329
08-02-2025,VC019,Road,Chennai,90450,52650,39150,182250,234527,52277
09-02-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,251320,48320
10-02-2025,VC001,Residential,Bangalore,62500,37500,25000,125000,146800,21800
11-02-2025,VC002,Commercial,Mysore,68000,34000,25500,127500,159252,31752
12-02-2025,VC003,Road,Chennai,45000,26250,18750,90000,104118,14118
13-02-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,239735,59735
14-02-2025,VC005,Residential,Bangalore,74250,43200,28350,145800,175216,29416
15-02-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,202635,44635
16-02-2025,VC007,Road,Chennai,77500,45000,32500,155000,187913,32913
17-02-2025,VC008,Bridge,Hyderabad,78200,44200,34850,157250,197193,39943
18-02-2025,VC009,Residential,Bangalore,43500,24750,16500,84750,106729,21979
19-02-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,194663,30663
20-02-2025,VC011,Road,Chennai,85050,49950,36450,171450,230414,58964
21-02-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,249260,58260
22-02-2025,VC013,Residential,Bangalore,75000,43750,28750,147500,197340,49840
23-02-2025,VC014,Commercial,Mysore,76500,39100,28050,143650,190905,47255
24-02-2025,VC015,Road,Chennai,48750,28500,21000,98250,124736,26486
25-02-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,262871,65871
26-02-2025,VC017,Residential,Bangalore,83700,48600,32400,164700,192319,27619
27-02-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,205731,32731
28-02-2025,VC019,Road,Chennai,83750,48750,36250,168750,195588,26838
01-03-2025,VC020,Bridge,Hyderabad,85000,49300,38250,172550,209659,37109
02-03-2025,VC001,Residential,Bangalore,37500,22500,15000,75000,92080,17080
03-03-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,180640,30640
04-03-2025,VC003,Road,Chennai,81000,47250,33750,162000,213151,51151
05-03-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,219843,39843
06-03-2025,VC005,Residential,Bangalore,68750,40000,26250,135000,162835,27835
07-03-2025,VC006,Commercial,Mysore,72250,35700,26350,134300,169021,34721
08-03-2025,VC007,Road,Chennai,46500,27000,19500,93000,109571,16571
09-03-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,242431,57431
10-03-2025,VC009,Residential,Bangalore,78300,44550,29700,152550,177707,25157
11-03-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,220969,56969
12-03-2025,VC011,Road,Chennai,78750,46250,33750,158750,207081,48331
13-03-2025,VC012,Bridge,Hyderabad,80750,45900,35700,162350,193154,30804
14-03-2025,VC013,Residential,Bangalore,45000,26250,17250,88500,101872,13372
15-03-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,221912,52912
16-03-2025,VC015,Road,Chennai,87750,51300,37800,176850,228379,51529
17-03-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,255272,58272
18-03-2025,VC017,Residential,Bangalore,77500,45000,30000,152500,198898,46398
19-03-2025,VC018,Commercial,Mysore,78200,39950,28900,147050,171285,24235
20-03-2025,VC019,Road,Chennai,50250,29250,21750,101250,123696,22446
21-03-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,238154,35154
22-03-2025,VC001,Residential,Bangalore,67500,40500,27000,135000,178553,43553
23-03-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,191198,41198
24-03-2025,VC003,Road,Chennai,75000,43750,31250,150000,182426,32426
25-03-2025,VC004,Bridge,Hyderabad,76500,42500,34000,153000,177894,24894
26-03-2025,VC005,Residential,Bangalore,41250,24000,15750,81000,98187,17187
27-03-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,191975,33975
28-03-2025,VC007,Road,Chennai,83700,48600,35100,167400,216937,49537
29-03-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,236339,51339
