Date,Project_ID,Project_Type,Location,Material_Cost,Labor_Cost,Equipment_Cost,Total_Cost,Revenue,Profit
01-03-2026,VC001,Residential,Bangalore,40000,24000,16000,80000,99366,19366
02-03-2026,VC002,Commercial,Mysore,88000,44000,33000,165000,214552,49552
03-03-2026,VC003,Road,Chennai,54000,31500,22500,108000,136184,28184
04-03-2026,VC004,Bridge,Hyderabad,112500,62500,50000,225000,279159,54159
05-03-2026,VC005,Residential,Bangalore,41250,24000,15750,81000,97060,16060
06-03-2026,VC006,Commercial,Mysore,97749,48299,35650,181698,231858,50160
07-03-2026,VC007,Road,Chennai,62000,36000,26000,124000,149191,25191
08-03-2026,VC008,Bridge,Hyderabad,73600,41600,32800,148000,201593,53593
09-03-2026,VC009,Residential,Bangalore,63800,36300,24200,124300,172439,48139
10-03-2026,VC010,Commercial,Mysore,79200,39600,28800,147600,174788,27188
11-03-2026,VC011,Road,Chennai,78750,46250,33750,158750,210677,51927
12-03-2026,VC012,Bridge,Hyderabad,71250,40500,31500,143250,176929,33679
13-03-2026,VC013,Residential,Bangalore,69000,40250,26449,135699,169463,33764
14-03-2026,VC014,Commercial,Mysore,90000,46000,33000,169000,232199,63199
15-03-2026,VC015,Road,Chennai,52000,30400,22400,104800,112645,7845
16-03-2026,VC016,Bridge,Hyderabad,107800,61600,47300,216700,234143,17443
17-03-2026,VC017,Residential,Bangalore,55800,32400,21600,109800,116066,6266
18-03-2026,VC018,Commercial,Mysore,115000,58750,42500,216250,290081,73831
19-03-2026,VC019,Road,Chennai,50250,29250,21750,101250,133888,32638
20-03-2026,VC020,Bridge,Hyderabad,114999,66700,51749,233448,316206,82758
21-03-2026,VC001,Residential,Bangalore,50000,30000,20000,100000,139251,39251
22-03-2026,VC002,Commercial,Mysore,64000,32000,24000,120000,159564,39564
23-03-2026,VC003,Road,Chennai,66000,38500,27500,132000,159920,27920
24-03-2026,VC004,Bridge,Hyderabad,81000,45000,36000,162000,214356,52356
25-03-2026,VC005,Residential,Bangalore,68750,40000,26250,135000,147338,12338
26-03-2026,VC006,Commercial,Mysore,63750,31500,23250,118500,150965,32465
27-03-2026,VC007,Road,Chennai,71300,41400,29899,142599,156883,14284
28-03-2026,VC008,Bridge,Hyderabad,92000,52000,41000,185000,255417,70417
29-03-2026,VC009,Residential,Bangalore,46400,26400,17600,90400,111431,21031
30-03-2026,VC010,Commercial,Mysore,96800,48400,35200,180400,215601,35201
31-03-2026,VC011,Road,Chennai,56700,33300,24300,114300,130598,16298
