Date,Project_ID,Project_Type,Location,Material_Cost,Labor_Cost,Equipment_Cost,Total_Cost,Revenue,Profit
01-01-2024,VC001,Residential,Bangalore,50000,30000,20000,100000,130000,30000
05-01-2024,VC002,Commercial,Mysore,80000,40000,30000,150000,195000,45000
10-01-2024,VC003,Road,Chennai,60000,35000,25000,120000,156000,36000
15-01-2024,VC004,Bridge,Hyderabad,90000,50000,40000,180000,234000,54000
20-01-2024,VC005,Residential,Bangalore,55000,32000,21000,108000,140400,32400
01-02-2024,VC006,Commercial,Mysore,85000,42000,31000,158000,205400,47400
05-02-2024,VC007,Road,Chennai,62000,36000,26000,124000,161200,37200
10-02-2024,VC008,Bridge,Hyderabad,92000,52000,41000,185000,240500,55500
15-02-2024,VC009,Residential,Bangalore,58000,33000,22000,113000,146900,33900
20-02-2024,VC010,Commercial,Mysore,88000,44000,32000,164000,213200,49200
01-03-2024,VC011,Road,Chennai,63000,37000,27000,127000,165100,38100
05-03-2024,VC012,Bridge,Hyderabad,95000,54000,42000,191000,248300,57300
10-03-2024,VC013,Residential,Bangalore,60000,35000,23000,118000,153400,35400
15-03-2024,VC014,Commercial,Mysore,90000,46000,33000,169000,219700,50700
20-03-2024,VC015,Road,Chennai,65000,38000,28000,131000,170300,39300
01-04-2024,VC016,Bridge,Hyderabad,98000,56000,43000,197000,256100,59100
05-04-2024,VC017,Residential,Bangalore,62000,36000,24000,122000,158600,36600
10-04-2024,VC018,Commercial,Mysore,92000,47000,34000,173000,224900,51900
15-04-2024,VC019,Road,Chennai,67000,39000,29000,135000,175500,40500
20-04-2024,VC020,Bridge,Hyderabad,100000,58000,45000,203000,263900,60900
